id,street,status,road_type,road_type_recode,install_year,install_type,verify_install_year,verify_install_date,verify_install_type,verify_install_comment,verify_upgrade1_year,verify_upgrade1_date,verify_upgrade1_type,verify_upgrade1_comment,verify_upgrade2_year,verify_upgrade2_date,verify_upgrade2_type,verify_upgrade2_comment,verify_misclass,no_verify_install_type,geometry_len_km,geometry_crs,geometry,install_type2,verify_final_type,verify_final_year
294781,Balaclava,Active,Residential,Local,2009,Local Street,2009,,LSB,,,,,,,,,,,Local Street,0.046891942937950404,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1738 49.26802, -123.1738 49.26844)",LSB,,
294784,Balaclava,Active,Residential,Local,2009,Local Street,2009,,LSB,,,,,,,,,,,Local Street,0.04962712740089198,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1738 49.27022, -123.1737 49.27067)",LSB,,
294788,Balaclava,Active,Residential,Local,2009,Local Street,2009,,LSB,,,,,,,,,,,Local Street,0.0528134701911076,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1757 49.24851, -123.1757 49.24851, -123.1757 49.24803)",LSB,,
294789,Balaclava,Active,Residential,Local,2009,Local Street,2009,,LSB,,,,,,,,,,,Local Street,0.050276911311950945,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1757 49.25102, -123.1757 49.25056, -123.1757 49.25056)",LSB,,
294790,Balaclava,Active,Residential,Local,2009,Local Street,2009,,LSB,,,,,,,,,,,Local Street,0.01707681173701828,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1757 49.25117, -123.1757 49.25102)",LSB,,
294792,Balaclava,Active,Residential,Local,2009,Local Street,2009,,LSB,,,,,,,,,,,Local Street,0.05270047863285382,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1757 49.24661, -123.1757 49.24613)",LSB,,
294793,Yukon,Active,Residential,Local,2009,Local Street,2009,,LSB,,,,,,,,,,,Local Street,0.05696395413153041,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1122 49.24842, -123.1122 49.24893)",LSB,,
294795,Yukon,Active,Residential,Local,2009,Local Street,2009,,LSB,,,,,,,,,,,Local Street,0.024464817541246017,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1123 49.24696, -123.1123 49.24718)",LSB,,
294796,Yukon,Active,Residential,Local,2009,Local Street,2009,,LSB,,,,,,,,,,,Local Street,0.03223970262047566,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1127 49.25173, -123.1127 49.25202, -123.1127 49.25202)",LSB,,
294814,Vine,Active,Residential,Local,2013,Local Street,2013,,LSB,,,,,,,,,,,Local Street,0.050742334473459376,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1597 49.24173, -123.1596 49.24219)",LSB,,
294815,Elm,Active,Residential,Local,2013,Local Street,2013,,LSB,,,,,,,,,,,Local Street,0.0961536500705719,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1643 49.24418, -123.1644 49.24426, -123.1644 49.24426, -123.1645 49.24437, -123.1645 49.24437, -123.1646 49.24444, -123.1647 49.24446, -123.1647 49.24446, -123.1647 49.24446, -123.1648 49.24455, -123.165 49.24462, -123.1653 49.24473)",LSB,,
294817,Off Street,Active,Off-street,Off-street,2017,Protected Bike Lanes,,,,,,,,,,,,,,,0.3231490095154706,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1482 49.21601, -123.148 49.2156, -123.1478 49.21519, -123.1476 49.21477, -123.1474 49.21436, -123.1472 49.21394, -123.147 49.21353, -123.1468 49.21325)",,,
294818,Off Street,Active,Off-street,Off-street,2017,Protected Bike Lanes,,,,,,,,,,,,,,,0.22958444039590595,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1493 49.21794, -123.1492 49.21771, -123.149 49.21737, -123.1487 49.21682, -123.1484 49.21642, -123.1483 49.21623, -123.1482 49.21601, -123.1482 49.21601)",,,
294821,E 45th Ave,Active,Residential,Local,2013,Local Street,2013,,LSB,,,,,,,,,,,Local Street,0.06998327618297723,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0985 49.22931, -123.0995 49.22933)",LSB,,
294825,W 45th Ave,Active,Residential,Local,2011,Local Street,2011,,LSB,,,,,,,,,,,Local Street,0.0985668443240684,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1193 49.22992, -123.1193 49.22992, -123.1207 49.22997)",LSB,,
294826,E 46th Ave,Active,Residential,Local,2013,Local Street,2013,,LSB,,,,,,,,,,,Local Street,0.11155831013325793,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0501 49.22845, -123.0517 49.22846)",LSB,,
294829,Grandview Hwy North,Active,Sec Arterial,Collector,2003,Local Street,2003,,LSB,,,,,,,,,,,Local Street,0.010603522271741639,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0582 49.25911, -123.0581 49.25906)",LSB,,
294832,Grandview Hwy North,Active,Sec Arterial,Collector,2003,Local Street,2003,,LSB,,,,,,,,,,,Local Street,0.08486914219181384,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0631 49.26105, -123.0621 49.26065, -123.0621 49.26065)",LSB,,
294835,Slocan,Active,Residential,Local,1998,Local Street,1998,,LSB,,,,,,,,,,,Local Street,0.05182203939073397,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0494 49.27276, -123.0494 49.27229, -123.0494 49.27229)",LSB,,
294836,Slocan,Active,Residential,Local,1998,Local Street,1998,,LSB,,,,,,,,,,,Local Street,0.04612837927561881,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0494 49.27621, -123.0494 49.27621, -123.0494 49.2758)",LSB,,
294847,Yukon,Active,Residential,Local,2009,Local Street,2009,,LSB,,,,,,,,,,,Local Street,0.05831289313313731,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1128 49.25006, -123.1128 49.25006, -123.1128 49.25059)",LSB,,
294851,Yukon,Active,Residential,Local,2009,Local Street,2009,,LSB,,,,,,,,,,,Local Street,0.01864070999485111,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1127 49.2529, -123.1127 49.25307)",LSB,,
294852,Wylie,Active,Residential,Local,2011,Local Street,2011,,LSB,,,,,,,,,,,Local Street,0.05019656092901548,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1139 49.26827, -123.1135 49.26791)",LSB,,
294855,Yukon,Active,Residential,Local,2009,Local Street,2009,,LSB,,,,,,,,,,,Local Street,0.0799450267002024,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.113 49.25942, -123.1131 49.2587)",LSB,,
294859,SW Marine Drive,Active,Sec Arterial,Collector,1996,Shared Lanes,,,,,,,,,,,,,,,0.03375881459131012,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1409 49.20516, -123.1413 49.2053, -123.1413 49.2053)",SR,,
294862,SW Marine Drive,Active,Arterial,Arterial,1997,Painted Lanes,1997,Pre-2009,PL,"PL both sides: https://www.google.com/maps/@49.2297152,-123.1775963,3a,75y,122.26h,79.6t/data=!3m7!1e1!3m5!1s_j8aUGBprKwe9BARHSCpXA!2e0!5s20120701T000000!7i13312!8i6656 .",2017,17-Oct,BUF,"PBBL both sides, no upgrades since: https://www.google.com/maps/@49.2297493,-123.1775871,3a,75y,122.26h,79.6t/data=!3m7!1e1!3m5!1sUDrSQoA7zaa36DTieKsS9A!2e0!5s20181001T000000!7i16384!8i8192 , throughout install (point 2): https://www.google.com/maps/@49.",,,,,,,0.31761322072048537,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1486 49.20941, -123.151 49.2118)",PL,BUF,2017
294864,Off Street,Active,Off-street,Off-street,2003,Protected Bike Lanes,,,,,,,,,,,,,,,0.15545110780011678,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0848 49.23095, -123.0826 49.23089, -123.0826 49.23089)",,,
294874,Eddington Drive,Active,Residential,Local,2008,Local Street,2008,,LSB,,,,,,,,,,,Local Street,0.10538856540807849,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1582 49.24624, -123.1584 49.24615, -123.1584 49.24614, -123.1584 49.24613, -123.1584 49.24613, -123.1584 49.24612, -123.1584 49.24612, -123.1584 49.24612, -123.1584 49.24611, -123.1584 49.2461, -123.1584 49.2461, -123.1584 49.2461, -123.1584 49.24608, -123.1584 49.24608, -123.1584 49.24608, -123.1585 49.24607, -123.1585 49.24607, -123.1585 49.24607, -123.1585 49.24606, -123.1585 49.24606, -123.1585 49.24605, -123.1585 49.24605, -123.1585 49.24604, -123.1585 49.24604, -123.1585 49.24603, -123.1585 49.24603, -123.1585 49.24602, -123.1585 49.24602, -123.1585 49.24601, -123.1585 49.246, -123.1585 49.246, -123.1585 49.246, -123.1586 49.246, -123.1586 49.24599, -123.1586 49.24598, -123.1586 49.24598, -123.1586 49.24597, -123.1586 49.24596, -123.1586 49.24595, -123.1586 49.24595, -123.1586 49.24595, -123.1586 49.24595, -123.1586 49.24594, -123.1586 49.24594, -123.1586 49.24593, -123.1586 49.24593, -123.1587 49.24593, -123.1587 49.24592, -123.1587 49.24592, -123.1587 49.24591, -123.1587 49.24591, -123.1587 49.24591, -123.1587 49.2459, -123.1587 49.24589, -123.1587 49.24589, -123.1587 49.24588, -123.1587 49.24588, -123.1587 49.24587, -123.1587 49.24586, -123.1588 49.24586, -123.1588 49.24586, -123.1588 49.24585, -123.1588 49.24585, -123.1588 49.24585, -123.1588 49.24584, -123.1588 49.24583, -123.1588 49.24583, -123.1588 49.24583, -123.1588 49.24582, -123.1588 49.24582, -123.1588 49.24581, -123.1588 49.2458, -123.1589 49.2458, -123.1589 49.2458, -123.1589 49.24579, -123.1589 49.24579, -123.1589 49.24579, -123.1589 49.24578, -123.1589 49.24577, -123.1589 49.24577, -123.1589 49.24577, -123.1589 49.24576, -123.1589 49.24576, -123.1589 49.24575, -123.1589 49.24575, -123.1589 49.24574, -123.159 49.24573, -123.159 49.24573, -123.159 49.24572, -123.159 49.24572, -123.159 49.24572, -123.159 49.24572, -123.159 49.24572, -123.159 49.2457, -123.159 49.2457, -123.159 49.24569, -123.159 49.24569, -123.1591 49.24568, -123.1591 49.24568, -123.1591 49.24568, -123.1591 49.24567, -123.1591 49.24567, -123.1591 49.24566, -123.1591 49.24566, -123.1591 49.24565, -123.1591 49.24565, -123.1591 49.24565, -123.1591 49.24564, -123.1591 49.24564, -123.1592 49.24563, -123.1592 49.24563, -123.1592 49.24562, -123.1592 49.24562, -123.1592 49.24561, -123.1592 49.24561, -123.1592 49.2456, -123.1592 49.2456, -123.1592 49.24559, -123.1592 49.24559, -123.1593 49.24558, -123.1593 49.24558, -123.1593 49.24558, -123.1593 49.24558)",LSB,,
294876,Nanton,Active,Residential,Local,2009,Local Street,2009,,LSB,,,,,,,,,,,Local Street,0.05186551478453944,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1277 49.24631, -123.1284 49.24632, -123.1284 49.24632)",LSB,,
294878,Nanton,Active,Residential,Local,2009,Local Street,2009,,LSB,,,,,,,,,,,Local Street,0.10668247100538937,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1306 49.24636, -123.1321 49.24638)",LSB,,
294881,Nanton,Active,Residential,Local,2009,Local Street,2009,,LSB,,,,,,,,,,,Local Street,0.08144455721878478,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1521 49.24762, -123.1525 49.24762, -123.1533 49.24763, -123.1533 49.24763)",LSB,,
294884,Nanton,Active,Residential,Local,2009,Local Street,2009,,LSB,,,,,,,,,,,Local Street,0.053081886474419956,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1454 49.24751, -123.1461 49.24752, -123.1461 49.24752)",LSB,,
294890,W 1st Ave,Active,Residential,Local,2010,Painted Lanes,2007,Pre-2007,PBL,"PBL2way from Columbia St to Ontario St. Pre-2007, removed during construction in 2009-2010: SV: https://www.google.com/maps/@49.2702661,-123.1089831,3a,71.6y,80.42h,72.1t/data=!3m7!1e1!3m5!1s_pMYy-h8Dl3V9kgg13u3Tw!2e0!5s20070901T000000!7i3328!8i1664?entr",2010,,PL,"PL both sides of road, no upgrades to bikeway, do see some flex-posts on road as a traffic calming initiative added later on around 2015: https://www.google.com/maps/@49.2701865,-123.1054916,3a,75y,255.57h,82.21t/data=!3m7!1e1!3m5!1sTy3H26FL57CuE7PC2cwgq",,,,,,,0.10667672627117036,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1046 49.27019, -123.1061 49.27022)",PL,PL,2010
294892,Lamey's Mill Rd,Active,Residential,Local,1990,Local Street,1990,,LSB,,,,,,,,,,,Local Street,0.09356495016609222,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1321 49.26668, -123.1333 49.26698)",LSB,,
294893,Slocan,Active,Residential,Local,1998,Local Street,1998,,LSB,,,,,,,,,,,Local Street,0.045979921391311594,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0494 49.27539, -123.0494 49.27497)",LSB,,
294899,Chilco,Active,Residential,Local,2006,Local Street,2006,,LSB,,,,,,,,,,,Local Street,0.05484134074701008,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1426 49.29057, -123.1426 49.29057, -123.1432 49.29022)",LSB,,
294903,Slocan,Active,Residential,Local,1998,Local Street,1998,,LSB,,,,,,,,,,,Local Street,0.11840447937313446,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0496 49.25741, -123.0496 49.2568, -123.0496 49.25635)",LSB,,
294904,Slocan,Active,Residential,Local,1998,Local Street,1998,,LSB,,,,,,,,,,,Local Street,0.09830491338368838,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0496 49.25154, -123.0496 49.25154, -123.0496 49.25066)",LSB,,
294905,Slocan,Active,Residential,Local,1998,Local Street,1998,,LSB,,,,,,,,,,,Local Street,0.1345023481316103,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0496 49.25275, -123.0496 49.25238, -123.0496 49.25154)",LSB,,
294909,Off Street,Active,Off-street,Off-street,1990,Protected Bike Lanes,,,,,,,,,,,,,,,0.10245240739075245,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.2137 49.27596, -123.2138 49.27597, -123.214 49.27598, -123.2143 49.27598, -123.2143 49.27598, -123.2147 49.276, -123.2149 49.27602, -123.2151 49.27604)",,,
294912,Boundary,Active,Arterial,Arterial,2004,Local Street,2004,,LSB,,,,,,,,,,,Local Street,0.13282114342620643,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0234 49.20543, -123.0234 49.20424)",LSB,,
294913,W 33rd Ave,Active,Collector,Collector,2010,Painted Lanes,2009,April-Aug 2009,PL,"Painted Lane, 1 side 1 way, parking adjascent. 405 W 33rd Ave seen completed between April and Aug 2009 (google earth)",,,,"Google maps shows no upgrades since installation: https://www.google.com/maps/@49.2411318,-123.1190618,3a,75y,230.46h,68.14t/data=!3m7!1e1!3m5!1swAEkRhKjkrb4-_mvx1GiSA!2e0!5s20110901T000000!7i13312!8i6657",,,,,,,0.09940147915200213,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1193 49.24112, -123.1193 49.24112, -123.1201 49.24114, -123.1206 49.24116)",PL,PL,2009
294916,E Kent Ave North,Active,Arterial,Arterial,2004,Local Street,2004,,LSB,,,,,,,,,,,Local Street,0.053059891518288674,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0622 49.20641, -123.062 49.20637, -123.0618 49.20632, -123.0618 49.20632, -123.0618 49.20632, -123.0615 49.20626, -123.0615 49.20626)",LSB,,
294918,E Kent Ave North,Active,Off-street,Off-street,2004,Protected Bike Lanes,,,,,,,,,,,,,,,0.1772852433279811,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0568 49.20581, -123.0566 49.20581, -123.0564 49.20581, -123.0563 49.20582, -123.0562 49.20582, -123.056 49.20582, -123.0557 49.20583, -123.0555 49.20585, -123.0553 49.20586, -123.0552 49.20587, -123.055 49.20588, -123.0549 49.20589, -123.0545 49.20592, -123.0545 49.20592, -123.0544 49.20589)",,,
294919,Off Street,Active,Off-street,Off-street,2004,Protected Bike Lanes,,,,,,,,,,,,,,,0.07567740184299825,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0544 49.20589, -123.0544 49.20587, -123.0543 49.20588, -123.0537 49.20593, -123.0537 49.20596, -123.0536 49.20599, -123.0536 49.206, -123.0536 49.206, -123.0535 49.20601)",,,
294920,MacDonald,Active,Residential,Local,2013,Local Street,2013,,LSB,,,,,,,,,,,Local Street,0.05293283261190955,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1679 49.24515, -123.1679 49.24515, -123.1679 49.24562, -123.1679 49.24563)",LSB,,
294921,MacDonald,Active,Residential,Local,2013,Local Street,2013,,LSB,,,,,,,,,,,Local Street,0.05278235772285695,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1679 49.24563, -123.1679 49.24563, -123.1679 49.2461)",LSB,,
294922,W 16th Ave,Active,Sec Arterial,Collector,2003,Painted Lanes,2003,Pre-2009,PL,"PL both sides of road, parking adjascent, no apparent upgrades since 2009: https://www.google.com/maps/@49.2580189,-123.1855447,3a,75y,306.24h,71.23t/data=!3m7!1e1!3m5!1ss6berun-vyzAnHcN3VC-qw!2e0!5s20220501T000000!7i16384!8i8192 .",,,,,,,,,,,0.07092060554549452,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1851 49.25793, -123.1861 49.25794)",PL,PL,2003
294923,Valley Drive,Active,Residential,Local,2008,Local Street,2008,,LSB,,,,,,,,,,,Local Street,0.05220495135433176,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1548 49.24572, -123.1542 49.2455)",LSB,,
294926,Valley Drive,Active,Residential,Local,2008,Local Street,2008,,LSB,,,,,,,,,,,Local Street,0.14481365239426536,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.158 49.24793, -123.1574 49.24717, -123.1571 49.24676)",LSB,,
294930,W 68th Ave,Active,Residential,Local,2017,Local Street,2017,,LSB,,,,,,,,,,,Local Street,0.06752446699046638,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1411 49.21052, -123.142 49.21054)",LSB,,
294934,W 14th Ave,Active,Residential,Local,2017,Local Street,2017,,LSB,,,,,,,,,,,Local Street,0.10402640424285267,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1162 49.25875, -123.1177 49.25878)",LSB,,
294938,Burrard,Active,Arterial,Arterial,2017,Protected Bike Lanes,2017,Feb-April 2017,PBL,"Sat data shows completion between Feb and April 2017, PBL on one side only, https://www.google.com/maps/@49.2663292,-123.1457054,3a,75y,174.02h,81.49t/data=!3m7!1e1!3m5!1s65Wud84WaKQpe2ryiKupSg!2e0!5s20181001T000000!7i16384!8i8192 .",,,,,,,,,,,0.04792826713177629,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1456 49.26803, -123.1456 49.2676)",PBL,PBL,2017
294939,W 10th Ave,Active,Residential,Local,2004,Local Street,2004,,LSB,,,,,,,,,,,Local Street,0.17426593749405908,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1482 49.26279, -123.1506 49.26282)",LSB,,
294943,Powell,Active,Off-street,Off-street,2018,Protected Bike Lanes,,,,,,,,,,,,,,,0.22016740303794602,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0771 49.28307, -123.074 49.28323)",,,
294946,Wall,Active,Residential,Local,1999,Local Street,1999,,LSB,,,,,,,,,,,Local Street,0.11409460559358023,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0608 49.28752, -123.0601 49.28838, -123.06 49.28843)",LSB,,
294953,Burrard,Active,Arterial,Arterial,2006,Painted Lanes,2006,,PL,"PL Seen Apr 2009: https://www.google.com/maps/@49.2785996,-123.1300212,3a,75y,44.55h,76.55t/data=!3m7!1e1!3m5!1sRpIMOuxiyx3x-U5VRK7TXA!2e0!5s20090401T000000!7i13312!8i6656?entry=ttu",2018,,PL,"Minor changes in 2018, same infrastructure type: https://www.google.com/maps/@49.2785991,-123.130019,3a,22.1y,73.26h,84.74t/data=!3m7!1e1!3m5!1s6SL2jMExf_gdEGnRN62uKQ!2e0!5s20210301T000000!7i16384!8i8192",,,,,,,0.054926534388479976,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1297 49.27873, -123.1302 49.27838)",PL,PL,2006
294954,Cypress,Active,Residential,Local,1996,Protected Bike Lanes,1996,,None,"SSNDL on this street prior to 2016, shared both sides with cars: https://www.google.com/maps/@49.2680267,-123.1479804,3a,36.6y,180.63h,83.23t/data=!3m7!1e1!3m5!1szu0e2jBWMkfayL26AglLng!2e0!5s20150801T000000!7i13312!8i6656",2016,Feb-April 2016,PBL,"PBL one side, other side is shared with drivers (going south): https://www.google.com/maps/@49.2679258,-123.148017,3a,34.5y,174.77h,80.51t/data=!3m6!1e1!3m4!1s2jL5bQZUjacehaYyRmkrjg!2e0!7i16384!8i8192, Upgrade occurred sometime between Feb and April 2016",,,,,,,0.046572465884911846,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.148 49.26805, -123.148 49.26763)",PBL,PBL,2016
